0181 Södertälje,Miljöpartiet,..,..,..,1052,880,2914,1860,2732,2123,2448,2759,3758
0181 Södertälje,Socialdemokraterna,19460,19462,20350,22327,21769,19493,18198,22707,16340,17298,15438,15457
0181 Södertälje,Vänsterpartiet,2767,2392,2887,2960,2909,3021,1952,2523,4057,3072,2403,2373
0181 Södertälje,Sverigedemokraterna,..,..,..,..,..,..,..,..,253,293,829,2534
0182 Nacka,Moderaterna,7783,9297,11454,14052,13048,11831,14007,15159,16718,12142,21467,24153
0182 Nacka,Centerpartiet,5351,5149,3311,2731,1346,1535,1047,1295,835,735,2810,4040
0182 Nacka,Folkpartiet,3434,4740,4123,2197,6457,6158,5174,4636,3033,9740,5024,4950
0182 Nacka,Kristdemokraterna,206,159,175,259,..,512,1668,1302,4239,3504,3075,3799
0182 Nacka,Miljöpartiet,..,..,..,807,572,2214,1749,2096,1877,2407,3250,4765
0182 Nacka,Socialdemokraterna,10608,11204,11388,12559,11957,11041,10258,12879,10592,11898,9732,8797
0182 Nacka,Vänsterpartiet,2301,2431,2846,2599,2432,2558,1678,2283,3768,3035,2126,2207
0182 Nacka,Sverigedemokraterna,..,..,..,..,..,..,..,..,89,382,623,1510
0183 Sundbyberg,Moderaterna,2720,2921,3499,4175,4124,3906,4845,4789,5529,3847,6907,8007
0183 Sundbyberg,Centerpartiet,3289,2626,1521,1324,647,813,562,581,323,395,944,1052
0183 Sundbyberg,Folkpartiet,1857,2272,1885,984,2842,2715,2117,1552,1179,3454,1897,1823
0183 Sundbyberg,Kristdemokraterna,115,80,91,130,..,302,846,444,1563,1278,904,928
0183 Sundbyberg,Miljöpartiet,..,..,..,306,286,1140,738,910,940,1130,1446,2285
0183 Sundbyberg,Socialdemokraterna,9481,9043,8783,9263,9206,8444,7398,8542,6559,7493,6146,5998
0183 Sundbyberg,Vänsterpartiet,1739,1601,1800,1794,1663,1881,1324,1545,2479,1956,1438,1589
0183 Sundbyberg,Sverigedemokraterna,..,..,..,..,..,..,..,..,95,302,443,1023
0184 Solna,Moderaterna,8406,9413,11255,12968,11714,10273,11871,12860,11108,7766,14781,16338
0184 Solna,Centerpartiet,6114,4998,3255,2675,1399,1530,965,1077,623,640,1998,2475
0184 Solna,Folkpartiet,4257,5662,4910,2378,5846,5336,4248,3598,2309,6886,4188,3898
0184 Solna,Kristdemokraterna,390,295,235,358,..,606,1809,1184,3429,2442,1996,2314
0184 Solna,Miljöpartiet,..,..,..,737,562,2025,1490,1672,1488,1969,2745,4292
0184 Solna,Socialdemokraterna,14265,13991,13721,14370,13455,12063,10686,12999,9961,11842,9528,8823
0184 Solna,Vänsterpartiet,3044,2931,3225,2848,2668,2804,1882,2481,3756,3302,2343,2600
0184 Solna,Sverigedemokraterna,..,..,..,..,..,..,..,..,101,327,622,1478
0186 Lidingö,Moderaterna,9115,10145,11710,13388,12316,11365,11873,12721,13070,9563,14386,13922
0186 Lidingö,Centerpartiet,3745,3745,2611,2088,879,1189,752,1102,520,482,1738,2879
0186 Lidingö,Folkpartiet,2647,3905,3454,1917,5528,5051,3694,3162,2400,6959,3241,3064
0186 Lidingö,Kristdemokraterna,120,94,91,134,..,316,1315,1180,3327,2443,2201,2869
0186 Lidingö,Miljöpartiet,..,..,..,632,447,1551,1045,999,907,1076,1163,1619
0186 Lidingö,Socialdemokraterna,5251,5336,5295,5790,5739,5035,4186,5038,3965,4475,3135,2637
0186 Lidingö,Vänsterpartiet,1166,1189,1441,1189,973,989,553,745,1197,919,598,554
0186 Lidingö,Sverigedemokraterna,..,..,..,..,..,..,..,..,78,223,394,759
0187 Vaxholm,Moderaterna,2897,3902,5407,1454,1416,1280,1649,1843,2083,1516,3014,3433
0187 Vaxholm,Centerpartiet,3349,3604,2552,390,192,301,232,308,167,207,446,602
0187 Vaxholm,Folkpartiet,1432,2250,2072,282,806,747,548,512,335,1328,578,657
0187 Vaxholm,Kristdemokraterna,69,75,89,22,..,50,175,158,658,556,502,487
0187 Vaxholm,Miljöpartiet,..,..,..,113,89,320,197,336,281,280,447,535
0187 Vaxholm,Socialdemokraterna,4704,5316,5767,1423,1458,1307,1168,1533,1271,1481,1113,877
0187 Vaxholm,Vänsterpartiet,695,861,988,243,214,230,140,219,413,327,190,216
0187 Vaxholm,Sverigedemokraterna,..,..,..,..,..,..,..,..,3,37,71,188
0188 Norrtälje,Moderaterna,3336,3819,4975,6236,5996,5045,6877,7264,7583,5427,10613,13053
0188 Norrtälje,Centerpartiet,7438,7936,6875,6103,4765,4558,3892,3494,2335,2695,3157,2886
0188 Norrtälje,Folkpartiet,1864,2246,2069,1261,3711,3053,2451,1748,1124,4099,2211,2384
0188 Norrtälje,Kristdemokraterna,505,325,371,395,..,524,1584,958,3391,2586,2096,1771
0188 Norrtälje,Miljöpartiet,..,..,..,430,319,1427,918,1694,1336,1430,1616,2601
0188 Norrtälje,Socialdemokraterna,10022,10295,10564,11483,11911,11457,10157,13320,10361,12309,10418,9566
0188 Norrtälje,Vänsterpartiet,944,892,1167,1246,1223,1405,1042,1727,2892,1941,1590,1612
0188 Norrtälje,Sverigedemokraterna,..,..,..,..,..,..,..,..,56,167,690,1824
0191 Sigtuna,Moderaterna,2173,2637,3630,4809,4815,4219,5455,5523,5633,3807,7108,8720
0191 Sigtuna,Centerpartiet,3968,3702,2712,2157,1462,1419,991,1060,575,703,1079,1016
0191 Sigtuna,Folkpartiet,1406,1700,1560,831,2677,2537,1998,1450,779,2924,1560,1617
0191 Sigtuna,Kristdemokraterna,99,59,157,177,..,297,968,595,2023,1764,1300,1354
0191 Sigtuna,Miljöpartiet,..,..,..,266,182,867,593,846,678,803,915,1432
0191 Sigtuna,Socialdemokraterna,5920,5968,6438,7051,7163,6883,5950,8068,6074,7235,6751,6365
0191 Sigtuna,Vänsterpartiet,923,770,1040,937,842,966,603,927,1739,1293,837,875
0191 Sigtuna,Sverigedemokraterna,..,..,..,..,..,..,..,..,45,319,521,1145
0192 Nynäshamn,Moderaterna,1027,1301,1957,2710,2639,2097,3193,3170,3344,2243,4677,5665
0192 Nynäshamn,Centerpartiet,2698,2753,2017,1555,1112,1032,785,690,438,506,767,721
0192 Nynäshamn,Folkpartiet,871,1191,1158,601,1696,1591,1223,920,525,1869,988,1022
0192 Nynäshamn,Kristdemokraterna,121,103,127,156,..,259,622,394,1494,1235,897,773
0192 Nynäshamn,Miljöpartiet,..,..,..,368,328,952,551,880,652,692,771,1171
0192 Nynäshamn,Socialdemokraterna,6036,6245,6587,7337,7245,6626,5798,6897,5156,6078,5209,4745
0192 Nynäshamn,Vänsterpartiet,819,832,1023,912,925,1023,739,1074,1763,1251,856,867
0192 Nynäshamn,Sverigedemokraterna,..,..,..,..,..,..,..,..,39,251,441,986
0305 Håbo,Moderaterna,563,979,1760,2416,2449,2332,3076,3346,3242,2287,4254,5097
0305 Håbo,Centerpartiet,1205,1404,1150,941,627,648,457,458,304,396,639,601
0305 Håbo,Folkpartiet,400,638,715,330,1136,1121,816,657,347,1365,735,860
0305 Håbo,Kristdemokraterna,25,34,48,71,..,121,399,278,1104,1068,677,564
0305 Håbo,Miljöpartiet,..,..,..,99,82,334,186,398,370,374,424,653
0305 Håbo,Socialdemokraterna,1752,2177,2720,3169,3242,3190,2741,3915,3217,3585,3091,2983
0305 Håbo,Vänsterpartiet,215,204,309,334,314,372,274,436,714,493,385,368
0305 Håbo,Sverigedemokraterna,..,..,..,..,..,..,..,..,16,98,252,701
0319 Älvkarleby,Moderaterna,245,325,429,589,506,386,511,536,568,359,813,1136
0319 Älvkarleby,Centerpartiet,917,880,697,573,376,361,246,172,118,168,254,189
0319 Älvkarleby,Folkpartiet,299,391,436,219,526,510,412,291,181,434,276,296
0319 Älvkarleby,Kristdemokraterna,34,41,41,48,..,68,181,72,307,257,206,149
0319 Älvkarleby,Miljöpartiet,..,..,..,61,64,194,109,186,179,184,192,304
0319 Älvkarleby,Socialdemokraterna,4681,4819,4742,4843,4719,4171,3841,4373,3104,3255,3022,2875
0319 Älvkarleby,Vänsterpartiet,337,266,319,309,310,385,306,377,917,534,423,401
0319 Älvkarleby,Sverigedemokraterna,..,..,..,..,..,..,..,..,49,120,209,466
0330 Knivsta,Moderaterna,..,..,..,..,..,..,..,..,..,1436,2688,3435
0330 Knivsta,Centerpartiet,..,..,..,..,..,..,..,..,..,485,796,830
0330 Knivsta,Folkpartiet,..,..,..,..,..,..,..,..,..,1281,786,856
0330 Knivsta,Kristdemokraterna,..,..,..,..,..,..,..,..,..,755,629,636
0330 Knivsta,Miljöpartiet,..,..,..,..,..,..,..,..,..,361,437,664
0330 Knivsta,Socialdemokraterna,..,..,..,..,..,..,..,..,..,2279,1923,1720
0330 Knivsta,Vänsterpartiet,..,..,..,..,..,..,..,..,..,391,283,311
0330 Knivsta,Sverigedemokraterna,..,..,..,..,..,..,..,..,..,117,202,399
0331 Heby,Moderaterna,438,581,846,1205,1075,759,1045,1261,1262,749,1520,1979
0331 Heby,Centerpartiet,3255,3360,2988,2702,2449,2199,1703,1606,1166,1326,1360,1197
0331 Heby,Folkpartiet,587,671,649,386,880,664,446,361,211,659,404,429
0331 Heby,Kristdemokraterna,110,109,99,149,..,266,749,402,982,825,573,460
0331 Heby,Miljöpartiet,..,..,..,97,88,315,206,465,321,274,251,354
0331 Heby,Socialdemokraterna,3534,3690,3793,4009,3823,3603,3230,3986,3001,3174,2946,2818
0331 Heby,Vänsterpartiet,394,337,361,435,396,445,314,460,990,655,474,402
0331 Heby,Sverigedemokraterna,..,..,..,..,..,..,..,..,28,107,305,578
0360 Tierp,Moderaterna,785,1022,1234,1498,1386,1064,1419,1531,1498,981,1764,2658
0360 Tierp,Centerpartiet,3934,3908,3596,3234,2703,2515,2029,1768,1310,1490,1722,1344
0360 Tierp,Folkpartiet,1059,1244,1202,776,1443,1153,917,702,369,962,666,588
0360 Tierp,Kristdemokraterna,396,302,261,271,..,296,683,381,1123,914,656,471
0360 Tierp,Miljöpartiet,..,..,..,153,118,451,292,491,473,442,431,606
0360 Tierp,Socialdemokraterna,7445,7579,7628,7894,7747,7280,6690,7605,5857,6061,5495,5536
0360 Tierp,Vänsterpartiet,365,292,337,387,387,397,383,587,1267,878,656,690
0360 Tierp,Sverigedemokraterna,..,..,..,..,..,..,..,..,120,175,377,810
0380 Uppsala,Moderaterna,13016,14897,19938,24268,22494,20335,24651,26624,27493,16236,31252,37802
0380 Uppsala,Centerpartiet,21381,20774,16218,14186,10292,9931,7381,6986,4815,5450,10002,9681
0380 Uppsala,Folkpartiet,9575,12048,11496,7213,17802,15416,13770,12164,8614,20110,13079,11716
0380 Uppsala,Kristdemokraterna,1287,1052,1050,1501,..,2163,6447,5012,11985,9562,8165,8248
0380 Uppsala,Miljöpartiet,..,..,..,2385,2079,6728,5699,7962,7204,7439,9097,14291
0380 Uppsala,Socialdemokraterna,32791,34340,35418,39558,39244,36340,32080,42913,33196,36370,31237,30744
0380 Uppsala,Vänsterpartiet,5717,6318,8147,7570,6947,7554,5565,7428,12673,10086,7577,8158
0380 Uppsala,Sverigedemokraterna,..,..,..,..,..,..,..,..,625,1594,2319,4916
0381 Enköping,Moderaterna,2371,2875,3794,4763,4419,3682,4955,5037,5420,3550,6688,8755
0381 Enköping,Centerpartiet,6447,6568,5401,4825,3990,3804,2982,2765,2064,2479,2874,2527
0381 Enköping,Folkpartiet,1351,1630,1632,940,2746,2432,1846,1330,691,2345,1202,1330
0381 Enköping,Kristdemokraterna,282,219,207,251,..,355,1330,719,2501,2088,1363,1164
0381 Enköping,Miljöpartiet,..,..,..,308,293,899,608,1051,908,766,1007,1511
0381 Enköping,Socialdemokraterna,8139,8306,8554,9408,9213,8679,8001,9870,7758,8686,7866,7325
0381 Enköping,Vänsterpartiet,569,529,570,686,624,696,587,868,1720,1167,874,896
0381 Enköping,Sverigedemokraterna,..,..,..,..,..,..,..,..,55,169,517,1370
0382 Östhammar,Moderaterna,1057,1294,1708,2159,2123,1717,2266,2405,2325,1633,3037,3888
0382 Östhammar,Centerpartiet,3697,3873,3552,3268,2641,2506,2012,1746,1244,1534,1693,1469
0382 Östhammar,Folkpartiet,634,856,934,608,1480,1222,1010,659,414,1097,781,803
0382 Östhammar,Kristdemokraterna,233,170,149,211,..,221,593,281,1115,1002,707,573
0382 Östhammar,Miljöpartiet,..,..,..,242,214,542,363,728,524,496,473,610
0382 Östhammar,Socialdemokraterna,5282,5796,6091,6496,6437,5920,5628,6944,5371,5799,5094,4861
0382 Östhammar,Vänsterpartiet,474,428,474,491,488,618,445,637,1329,823,568,619
0382 Östhammar,Sverigedemokraterna,..,..,..,..,..,..,..,..,33,150,302,763
0428 Vingåker,Moderaterna,491,608,810,938,901,670,828,966,881,621,1050,1407
0428 Vingåker,Centerpartiet,1651,1858,1508,1337,1134,913,755,618,396,418,445,401
0428 Vingåker,Folkpartiet,676,670,744,448,780,641,453,299,186,484,235,240
0428 Vingåker,Kristdemokraterna,192,141,144,178,..,200,476,243,616,461,349,274
0428 Vingåker,Miljöpartiet,..,..,..,118,185,398,236,571,492,281,254,377
0428 Vingåker,Socialdemokraterna,2936,3037,3087,3377,3291,3187,2947,3346,2633,2966,2909,2424
0428 Vingåker,Vänsterpartiet,192,172,205,217,228,259,212,298,609,278,227,237
0428 Vingåker,Sverigedemokraterna,..,..,..,..,..,..,..,..,5,37,159,426
0461 Gnesta,Moderaterna,..,..,..,..,..,..,1080,1155,1174,834,1566,1946
0461 Gnesta,Centerpartiet,..,..,..,..,..,..,842,783,604,598,678,588
0461 Gnesta,Folkpartiet,..,..,..,..,..,..,434,351,194,658,332,384
0461 Gnesta,Kristdemokraterna,..,..,..,..,..,..,335,215,735,493,334,265
0461 Gnesta,Miljöpartiet,..,..,..,..,..,..,244,454,383,374,438,649
0461 Gnesta,Socialdemokraterna,..,..,..,..,..,..,1881,2487,1921,2327,2064,1897
0461 Gnesta,Vänsterpartiet,..,..,..,..,..,..,207,327,561,381,291,374
